time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18 16:00:00+00:00,64217.27,64280.58,64034.84,64212.56,5018,1694,0
2026-08-18 17:00:00+00:00,64212.42,65053.71,64212.41,64714.13,9130,1694,0
2026-08-18 18:00:00+00:00,64714.13,64885.51,64645.34,64849.2,5319,1694,0
2026-08-18 19:00:00+00:00,64849.4,64886.38,64665.33,64831.62,4008,1694,0
2026-08-18 20:00:00+00:00,64831.58,64833.35,64661.82,64664.14,2939,1694,0
2026-08-18 21:00:00+00:00,64664.15,64819.71,64648.47,64767.95,2507,1694,0
2026-08-18 22:00:00+00:00,64767.94,64793.81,64635.88,64640.66,2491,1694,0
2026-08-18 23:00:00+00:00,64640.71,64652.65,64561.94,64573.85,2589,1694,0
2026-08-19 00:00:00+00:00,64573.78,64651.85,64557.83,64598.81,2484,1694,0
2026-08-19 01:00:00+00:00,64598.83,64645.68,64554.7,64630.01,2533,1694,0
2026-08-19 02:00:00+00:00,64629.41,64779.62,64623.96,64718.27,2381,1694,0
2026-08-19 03:00:00+00:00,64718.89,64729.97,64475.96,64481.17,3357,1694,0
2026-08-19 04:00:00+00:00,64480.96,64538.23,64380.36,64391.49,3495,1694,0
2026-08-19 05:00:00+00:00,64390.32,64409.65,64335.37,64341.19,2927,1694,0
2026-08-19 06:00:00+00:00,64341.14,64409.29,64267.1,64318.87,2777,1694,0
2026-08-19 07:00:00+00:00,64318.0,64385.86,64284.63,64306.03,2338,1694,0
2026-08-19 08:00:00+00:00,64308.87,64403.62,64223.26,64227.85,2539,1694,0
2026-08-19 09:00:00+00:00,64227.46,64338.53,64156.56,64332.83,3046,1694,0
2026-08-19 10:00:00+00:00,64333.71,64390.6,64261.81,64287.75,2873,1694,0
2026-08-19 11:00:00+00:00,64287.72,64503.6,64239.14,64406.02,2883,1694,0
2026-08-19 12:00:00+00:00,64407.07,64466.16,64348.66,64417.39,2443,1694,0
2026-08-19 13:00:00+00:00,64417.28,64451.74,64357.89,64446.85,2292,1694,0
2026-08-19 14:00:00+00:00,64446.79,64527.59,64440.09,64503.34,2639,1694,0
2026-08-19 15:00:00+00:00,64503.0,64976.71,64462.24,64875.68,4731,1694,0
2026-08-19 16:00:00+00:00,64875.65,65214.59,64778.76,65004.58,9411,1694,0
2026-08-19 17:00:00+00:00,65004.42,65965.83,65004.36,65922.69,12038,1694,0
2026-08-19 18:00:00+00:00,65922.67,69651.22,65881.06,68541.95,25893,1694,0
2026-08-19 19:00:00+00:00,68537.26,68977.86,68407.9,68452.96,13008,1694,0
2026-08-19 20:00:00+00:00,68452.94,68527.41,67815.99,68185.75,9627,1694,0
2026-08-19 21:00:00+00:00,68186.31,68445.75,68026.4,68384.46,8295,1694,0
2026-08-19 22:00:00+00:00,68383.93,68476.47,68093.61,68421.48,9233,1694,0
2026-08-19 23:00:00+00:00,68422.14,69576.64,68378.72,69037.46,9049,1694,0
2026-08-20 00:00:00+00:00,69037.46,70035.69,68973.68,69707.73,19643,1694,0
2026-08-20 01:00:00+00:00,69707.69,69835.82,68970.88,69252.84,11969,1694,0
2026-08-20 02:00:00+00:00,69252.84,69452.23,69153.16,69330.01,8862,1694,0
2026-08-20 03:00:00+00:00,69329.97,69782.71,69307.02,69414.85,10309,1694,0
2026-08-20 04:00:00+00:00,69414.88,69882.11,69272.4,69714.67,8949,1694,0
2026-08-20 05:00:00+00:00,69714.67,69815.84,69261.69,69296.92,7753,1694,0
2026-08-20 06:00:00+00:00,69295.65,69337.51,68900.94,69185.77,9503,1694,0
2026-08-20 07:00:00+00:00,69185.8,69595.92,69156.67,69483.31,4862,1694,0
2026-08-20 08:00:00+00:00,69483.41,69661.58,69348.19,69413.22,5848,1694,0
2026-08-20 09:00:00+00:00,69410.26,69921.01,69338.43,69850.17,7051,1694,0
2026-08-20 10:00:00+00:00,69848.58,70011.91,69499.99,69813.37,6914,1694,0
2026-08-20 11:00:00+00:00,69813.32,71804.91,69780.59,71578.88,18827,1694,0
2026-08-20 12:00:00+00:00,71579.53,72063.46,71485.74,71790.29,11393,1694,0
2026-08-20 13:00:00+00:00,71789.94,72479.03,71693.48,71988.31,11280,1694,0
2026-08-20 14:00:00+00:00,71989.64,72315.45,71804.48,71914.25,11019,1694,0
2026-08-20 15:00:00+00:00,71914.19,72004.72,71492.0,71942.63,11828,1694,0
2026-08-20 16:00:00+00:00,71942.65,72091.92,71124.95,71682.04,15451,1694,0
2026-08-20 17:00:00+00:00,71682.03,71982.08,71349.87,71816.91,14769,1694,0
2026-08-20 18:00:00+00:00,71816.91,72821.05,71780.7,72457.49,18474,1694,0
2026-08-20 19:00:00+00:00,72456.56,72902.76,72200.35,72829.66,11486,1694,0
2026-08-20 20:00:00+00:00,72831.19,72956.28,72527.99,72732.74,9706,1694,0
2026-08-20 21:00:00+00:00,72730.46,72806.14,72382.34,72419.14,7996,1694,0
2026-08-20 22:00:00+00:00,72417.81,72765.81,72317.18,72683.04,8009,1694,0
2026-08-20 23:00:00+00:00,72676.03,73065.25,72578.88,72661.45,5809,1694,0
2026-08-21 00:00:00+00:00,72660.56,72836.59,72546.83,72732.9,4171,1694,0
2026-08-21 01:00:00+00:00,72726.01,72869.33,72478.94,72670.83,5135,1694,0
2026-08-21 02:00:00+00:00,72668.23,73396.22,72654.66,73018.52,8611,1694,0
2026-08-21 03:00:00+00:00,73018.53,73982.13,73012.32,73701.55,15151,1694,0
2026-08-21 04:00:00+00:00,73701.52,75766.64,73657.11,75120.23,20535,1694,0
2026-08-21 05:00:00+00:00,75120.29,75181.08,74370.09,74435.06,14356,1694,0
2026-08-21 06:00:00+00:00,74435.08,74874.88,74238.48,74505.79,9649,1694,0
2026-08-21 07:00:00+00:00,74507.67,75044.12,74507.67,75021.61,7528,1694,0
2026-08-21 08:00:00+00:00,75022.13,75492.93,74906.22,75464.53,9832,1694,0
2026-08-21 09:00:00+00:00,75464.56,75731.33,75094.83,75644.24,10995,1694,0
2026-08-21 10:00:00+00:00,75643.87,76903.13,75609.36,76307.08,18011,1694,0
2026-08-21 11:00:00+00:00,76307.09,79510.15,76245.62,79266.18,24937,1694,0
2026-08-21 12:00:00+00:00,79266.17,79353.41,77245.16,77898.84,26864,1694,0
2026-08-21 13:00:00+00:00,77896.87,78240.45,77608.52,77805.17,13678,1694,0
2026-08-21 14:00:00+00:00,77805.2,77855.28,76418.19,76726.62,16789,1694,0
2026-08-21 15:00:00+00:00,76727.25,77468.28,76529.47,77217.28,14384,1694,0
2026-08-21 16:00:00+00:00,77216.69,77697.95,76239.03,77255.54,21032,1694,0
2026-08-21 17:00:00+00:00,77256.13,77436.84,76539.35,77377.06,19237,1694,0
2026-08-21 18:00:00+00:00,77377.06,77863.7,77163.29,77222.83,14233,1694,0
2026-08-21 19:00:00+00:00,77220.39,77548.73,76777.45,77466.16,11396,1694,0
2026-08-21 20:00:00+00:00,77466.19,77706.79,77180.9,77382.28,9435,1694,0
2026-08-21 21:00:00+00:00,77382.64,77535.17,76622.96,77132.33,8279,1694,0
2026-08-21 22:00:00+00:00,77132.62,77347.95,76843.37,77019.02,9966,1694,0
2026-08-21 23:00:00+00:00,77019.02,77533.7,76851.35,77509.08,9986,1694,0
2026-08-22 00:00:00+00:00,77508.36,78667.87,77378.14,78501.61,13753,1694,0
2026-08-22 01:00:00+00:00,78499.31,78751.78,78081.26,78453.59,13861,1694,0
2026-08-22 02:00:00+00:00,78450.97,78715.38,78110.45,78330.08,11388,1694,0
2026-08-22 03:00:00+00:00,78330.75,78496.82,77677.46,77932.46,10896,1694,0
